"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"23",0.327753004308064,0.753271861986913,0.872921514702771,0.687097174020823,0.712577020659659,0.713884592504462,0.389368721503503,23,2,249.65,124.825,0
"24",0.619227571612123,0.720523497917906,0.758620689655172,0.505453644025781,0.67886915549112,0.920154669839381,0.233791748526523,24,1,180.07,180.07,0
"25",0.044214345098632,0.812284354550863,0.628220858895706,0.714055528011899,0.642370424066691,0.588138013087448,0.420135671127257,25,1,149.02,149.02,0
"26",0.515682865996523,0.768262938726948,0.786756928284324,0.457610312345067,0.685212033345415,0.760856632956574,0.473625681135782,26,1,235.07,235.07,0
"27",0.0770916786335122,0.768976799524093,0.665876877512164,0.619360436291522,0.642732874229793,0.612587745389649,0.175594024539422,27,1,505.18,505.18,0
"28",0.111178293401859,0.737269482450922,0.764861434313518,0.77243430837878,0.682203696991664,0.652212968471148,0.260128998776736,28,2,978.05,489.025,0
"29",0.404882472980122,0.710678167757287,0.620181933573091,0.610870104115022,0.669336716201522,0.81498512790006,0.336842495459095,29,2,643.3,321.65,0
"30",0.0143602146474189,0.780844735276621,0.583456737888724,0.738411006445216,0.627763682493657,0.587751338488995,0.204822626681988,30,2,1011.13,505.565,0
"31",0.238077242838788,0.845865556216538,0.809350539454199,0.729300941993059,0.754440014498007,0.867876264128495,0.260221670311747,31,1,472.75,472.75,0
"32",0.468445317814224,0.694854253420583,0.737254072350328,0.59766980664353,0.66625588981515,0.844913741820345,0.540460392185936,32,1,75.93,75.93,0
"33",0.602977855037412,0.857406305770375,1,0.511031234506693,0.896919173613628,0.955133848899465,0.215553990436298,33,1,37.73,37.73,0
"34",0.232673267326733,0.793248066627008,0.841167759678443,0.783899355478433,0.750724900326205,0.729036287923855,0.232957704711421,34,2,536.19,268.095,0
"35",0.33587786259542,0.653628792385485,0.499894224666808,0.726326227069906,0.568176875679594,0.79678762641285,0.190087852615191,35,1,521.83,521.83,0
"36",0.173531857002494,0.866403926234384,0.908546646921938,0.908155676747645,0.828307357738311,0.729565734681737,0.216035882418356,36,2,249.87,124.935,0
"37",0.355755422870531,0.835960737656157,0.803004019462661,0.598413485374318,0.744436389996376,0.774348602022606,0.313340994180228,37,1,216.24,216.24,0
"38",0.152445015493916,0.848096371207615,0.842944785276074,0.778507684680218,0.773976078289235,0.814574657941701,0.200504133150462,38,1,505.95,505.95,0
"39",0.263698888972867,0.581796549672814,0.402961709329384,0.601883986117997,0.498223994200797,0.785687091017252,0.175594024539422,39,1,472.75,472.75,0
"40",0.29627390219938,0.57266508030934,0.427565051829913,0.495413981160139,0.50074302283436,0.853658536585366,0.199595952107351,40,2,978.05,489.025,0
"41",0.935832514549165,0.891225461035098,0.924476412100698,0.378036688150719,0.903153316418992,0.982278405710886,0.351466063683879,41,2,587.71,293.855,0
"42",0.712191066434888,0.73283759666865,0.832451872223397,0.374442240951909,0.669626676332004,0.969886972040452,0.412314193572302,42,1,78.96,78.96,0
